t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
9.286,4.69326562552489e-69,7.824875575631109e-195,-3.69108408513644e-158,-3.995722901802834e-105,37.56262846113876,8.632722568943469e-38,0,pressure_servo_20250708_145013.db3_export,0.05
9.336,-1.2430766312750616e-204,4.7460246438643856e-195,-6.08555560166557e-158,-2.4235290374369155e-105,-1.814184769647072e-52,1.4383648179574078e-127,0,pressure_servo_20250708_145013.db3_export,0.05
9.386,-1.5808962302210148e-203,1.0589814187575884e-195,-3.6910542223497034e-158,-5.407627799658441e-106,-1.4891735431997803e-53,8.724123619431485e-128,0,pressure_servo_20250708_145013.db3_export,0.05
9.436,-7.597334233538812e-203,-2.39820500290421e-10,-1.6050953675415905e-142,-4.438859186706563e-107,-5.9561914091108015e-77,-2.5737283993137227e-123,0,pressure_servo_20250708_145013.db3_export,0.05
9.486,-1.4821626745777441e-202,-2.92161179644094e-09,-1.955406462142855e-141,-1.0364853369987309e-113,-2.8104908415872163e-73,-3.135466622951851e-122,0,pressure_servo_20250708_145013.db3_export,0.05
9.536,5.197684243315357e-99,-1.309375565588012e-08,-8.763523769454056e-141,2.4463942470740293e-123,-3.418169163055253e-72,-1.4052187210612787e-121,0,pressure_servo_20250708_145013.db3_export,0.05
9.586,6.332075690383296e-98,-2.1587953463199666e-08,-1.4448608044985067e-140,2.564319044285921e-203,-1.5309757827513705e-71,-2.3168139953997605e-121,0,pressure_servo_20250708_145013.db3_export,0.05
9.636,2.841672050400578e-97,-1.309375565588012e-08,-8.763523769454056e-141,5.8261962766555065e-204,-2.523581377212001e-71,-1.4052187210612787e-121,0,pressure_servo_20250708_145013.db3_export,0.05
9.686,4.725496985719369e-97,-2.92161179644094e-09,-1.955406462142855e-141,5.015441458693733e-205,-1.5305020789982344e-71,-3.1354667827397487e-122,0,pressure_servo_20250708_145013.db3_export,0.05
9.736,3.047092801859236e-97,-2.39820500290421e-10,-1.6050953675415905e-142,1.2978622932222635e-161,-3.4149071648370305e-72,-2.5737478654647262e-123,0,pressure_servo_20250708_145013.db3_export,0.05
9.786,9.782080353691836e-98,3.467087577781321e-93,-2.176378609291709e-223,1.581119954900499e-160,-2.8030765421069643e-73,-2.0586961939053607e-216,0,pressure_servo_20250708_145013.db3_export,0.05
