t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
10.836,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.886,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.936,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
10.986,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.036,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.086,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.136,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.186,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.236,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.286,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.336,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.386,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
11.436,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
