t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
6.875,350.12499999999994,1010.0,971.59375,1,pressure_servo_20250725_110821.db3_export,0.05
6.925,368.4999999999999,1010.0,969.625,1,pressure_servo_20250725_110821.db3_export,0.05
6.975,386.87499999999983,1010.0,967.65625,1,pressure_servo_20250725_110821.db3_export,0.05
7.025,405.25,1010.0,965.6875,1,pressure_servo_20250725_110821.db3_export,0.05
7.075,423.625,1010.0,963.71875,1,pressure_servo_20250725_110821.db3_export,0.05
7.125,442.0,1010.0,961.75,1,pressure_servo_20250725_110821.db3_export,0.05
7.175,460.37499999999983,1010.0,959.78125,1,pressure_servo_20250725_110821.db3_export,0.05
7.225,478.74999999999983,1010.0,957.8125,1,pressure_servo_20250725_110821.db3_export,0.05
7.275,497.125,1010.0,955.84375,1,pressure_servo_20250725_110821.db3_export,0.05
7.325,515.5,1010.0,953.875,1,pressure_servo_20250725_110821.db3_export,0.05
7.375,533.8749999999998,1010.0,951.90625,1,pressure_servo_20250725_110821.db3_export,0.05
7.425,552.1563518572978,1010.0,949.946227563595,1,pressure_servo_20250725_110821.db3_export,0.05
7.475,569.2968357816973,1010.0,948.0925286179778,1,pressure_servo_20250725_110821.db3_export,0.05
7.525,581.2999225955625,1010.0,946.715338498945,0,pressure_servo_20250725_110821.db3_export,0.05
7.575,584.5760415473463,1010.0,946.1237786179778,1,pressure_servo_20250725_110821.db3_export,0.05
7.625,581.3824558649835,1010.0,946.008727563595,0,pressure_servo_20250725_110821.db3_export,0.05
7.675,574.5426936115548,1010.0,946.0,1,pressure_servo_20250725_110821.db3_export,0.05
7.725,564.9041078276437,1010.0,946.0,0,pressure_servo_20250725_110821.db3_export,0.05
7.775,552.8899745617973,1010.0,946.0,1,pressure_servo_20250725_110821.db3_export,0.05
7.825,540.269414657314,1010.0,946.0,0,pressure_servo_20250725_110821.db3_export,0.05
7.875,527.0038241926103,1010.0,946.0,1,pressure_servo_20250725_110821.db3_export,0.05
7.925,506.0923726167484,1010.0,945.998891737956,0,pressure_servo_20250725_110821.db3_export,0.05
7.975,471.91397682182605,1010.0,945.9842820802568,1,pressure_servo_20250725_110821.db3_export,0.05
8.025,432.71311171543647,1010.0,945.9102716272572,0,pressure_servo_20250725_110821.db3_export,0.05
8.075,398.62340588122726,1010.0,945.75,1,pressure_servo_20250725_110821.db3_export,0.05
8.125,373.7559038833397,1010.0,945.5897283727428,0,pressure_servo_20250725_110821.db3_export,0.05
